Census Area,Average income per household in euros,
0801901001,38641,
0801901002,31838,
0801901003,33154,
0801901004,38235,
0801901005,29420,
0801901006,34734,
0801901007,35082,
0801901008,27381,
0801901009,33837,
0801901010,30656,
0801901011,29067,
0801901012,34968,
0801901013,39548,
0801901014,35467,
0801901015,36721,
0801901016,36578,
0801901017,31967,
0801901018,35564,
0801901019,32624,
0801901020,45544,
0801901021,42779,
0801901022,55993,
0801901023,44388,
0801901025,43173,
0801901026,46592,
0801901027,39180,
0801901028,42598,
0801901029,37873,
0801901030,38751,
0801901031,36473,
0801901032,38053,
0801901033,33217,
0801901034,32431,
0801901035,32913,
0801901036,39184,
0801901037,39090,
0801901038,30178,
0801901039,38464,
0801901040,38305,
0801901041,30596,
0801901042,40944,
0801901043,57004,
0801901044,44247,
0801901045,39947,
0801901046,40539,
0801901047,40256,
0801901048,31554,
0801901049,45871,
0801901050,38717,
0801901051,36341,
0801901052,59768,
0801901053,33578,
0801901054,36670,
0801901055,52925,
0801902001,53542,
0801902002,54793,
0801902003,63238,
0801902004,54147,
0801902005,61047,
0801902006,65320,
0801902007,67839,
0801902008,69122,
0801902009,63150,
0801902010,60597,
0801902011,58566,
0801902012,51561,
0801902013,48093,
0801902014,47097,
0801902015,49123,
0801902016,62715,
0801902017,67148,
0801902018,63457,
0801902019,58280,
0801902020,52387,
0801902021,51065,
0801902022,61803,
0801902023,52618,
0801902024,50484,
0801902025,49367,
0801902026,53591,
0801902027,55212,
0801902028,55345,
0801902029,56121,
0801902030,47817,
0801902031,61261,
0801902032,57363,
0801902033,51316,
0801902034,48767,
0801902035,54445,
0801902036,61957,
0801902037,64708,
0801902038,63362,
0801902039,55728,
0801902040,48904,
0801902041,52018,
0801902042,62458,
0801902043,62138,
0801902044,50509,
0801902045,63088,
0801902046,52395,
0801902047,58817,
0801902048,55886,
0801902049,50344,
0801902050,51341,
0801902051,48628,
0801902052,56830,
0801902053,55055,
0801902054,59337,
0801902055,61583,
0801902056,63006,
0801902057,81051,
0801902058,69975,
0801902059,83059,
0801902060,67118,
0801902061,58332,
0801902062,76435,
0801902063,95006,
0801902064,90648,
0801902065,64178,
0801902066,64066,
0801902067,55703,
0801902068,61511,
0801902069,69446,
0801902070,75259,
0801902071,80173,
0801902072,88812,
0801902073,78188,
0801902074,91493,
0801902075,74865,
0801902076,92907,
0801902077,72189,
0801902078,79245,
0801902079,97962,
0801902080,94032,
0801902081,83807,
0801902082,92781,
0801902083,95899,
0801902084,69836,
0801902085,70278,
0801902086,81156,
0801902087,70420,
0801902088,76237,
0801902089,69003,
0801902090,62569,
0801902091,68457,
0801902092,61989,
0801902093,66339,
0801902094,64208,
0801902095,67114,
0801902096,59223,
0801902097,59269,
0801902098,62712,
0801902099,76241,
0801902100,61001,
0801902101,67372,
0801902102,75748,
0801902103,51749,
0801902104,71835,
0801902105,56231,
0801902106,77879,
0801902107,80105,
0801902108,76889,
0801902109,83967,
0801902110,60158,
0801902111,62193,
0801902112,78082,
0801902113,81212,
0801902114,60343,
0801902115,57808,
0801902116,74871,
0801902117,64426,
0801902118,74347,
0801902119,64557,
0801902120,59453,
0801902121,65763,
0801902122,72238,
0801902123,55477,
0801902124,65195,
0801902125,64042,
0801902126,65286,
0801902127,56182,
0801902128,56189,
0801902129,60209,
0801902130,98000,
0801902131,60118,
0801902132,61012,
0801902133,58105,
0801902134,55895,
0801902135,52430,
0801902136,60685,
0801902137,54427,
0801902138,62469,
0801902139,54537,
0801902140,59054,
0801902141,55504,
0801902142,54221,
0801902143,60784,
0801902144,65861,
0801902145,61744,
0801902146,58761,
0801902147,55774,
0801902148,58889,
0801902149,58359,
0801902150,53369,
0801902151,59262,
0801902152,62054,
0801902153,61370,
0801902154,51616,
0801902155,52338,
0801902156,56655,
0801902157,52263,
0801902158,56713,
0801902159,58762,
0801902160,61653,
0801902161,57668,
0801902162,50325,
0801902163,58414,
0801902164,56580,
0801902165,59186,
0801902166,54814,
0801902167,59314,
0801902168,52909,
0801902169,52870,
0801902170,58545,
0801902171,47883,
0801902172,47175,
0801902173,52677,
0801903001,46931,
0801903002,39191,
0801903003,41201,
0801903004,45810,
0801903005,40314,
0801903006,45421,
0801903007,40833,
0801903008,39696,
0801903009,43637,
0801903010,42159,
0801903011,36102,
0801903012,41437,
0801903013,38156,
0801903014,40048,
0801903015,41268,
0801903016,42326,
0801903017,38396,
0801903018,45117,
0801903019,40407,
0801903020,49418,
0801903021,48959,
0801903022,44427,
0801903023,40815,
0801903024,40584,
0801903025,36309,
0801903026,40484,
0801903027,44694,
0801903028,54377,
0801903029,41165,
0801903030,43780,
0801903031,41056,
0801903032,36651,
0801903033,34444,
0801903034,42664,
0801903035,47089,
0801903036,50646,
0801903037,49467,
0801903038,36387,
0801903039,32893,
0801903040,51478,
0801903041,49338,
0801903042,47537,
0801903043,48689,
0801903044,47004,
0801903045,47034,
0801903046,59848,
0801903047,44636,
0801903048,57303,
0801903049,50285,
0801903050,49609,
0801903051,43344,
0801903052,48013,
0801903053,44888,
0801903054,52910,
0801903055,46408,
0801903056,44305,
0801903057,44403,
0801903058,67466,
0801903059,42134,
0801903060,54251,
0801903061,43234,
0801903062,45009,
0801903063,52202,
0801903064,51353,
0801903065,51731,
0801903066,47514,
0801903067,52158,
0801903068,39845,
0801903069,54330,
0801903070,40989,
0801903071,39283,
0801903072,40251,
0801903073,49736,
0801903074,47208,
0801903075,46303,
0801903076,42994,
0801903077,46589,
0801903078,44450,
0801903079,42943,
0801903080,45975,
0801903081,50124,
0801903082,55692,
0801903083,50255,
0801903084,51845,
0801903085,55480,
0801903086,62721,
0801903087,61144,
0801903088,50182,
0801903089,54097,
0801903090,62185,
0801903091,59577,
0801903092,51677,
0801903093,55622,
0801903094,52131,
0801903095,49795,
0801903096,47640,
0801903097,36872,
0801903098,44967,
0801903099,46213,
0801903100,46236,
0801903101,45815,
0801903102,49873,
0801903103,47273,
0801903104,48243,
0801903105,46982,
0801903106,49343,
0801903107,52515,
0801903108,50801,
0801903109,53729,
0801903110,49631,
0801903111,53828,
0801903112,60100,
0801903113,71488,
0801903114,68933,
0801903211,52466,
0801903212,41873,
0801903213,38261,
0801904001,61761,
0801904002,70063,
0801904003,64272,
0801904004,58329,
0801904005,59404,
0801904006,62951,
0801904007,52857,
0801904008,50318,
0801904009,60299,
0801904010,78295,
0801904011,76679,
0801904012,67600,
0801904013,76064,
0801904014,75598,
0801904015,67550,
0801904016,76166,
0801904017,70466,
0801904018,77412,
0801904019,101810,
0801904020,83832,
0801904021,93549,
0801904022,65003,
0801904023,137782,
0801904024,143364,
0801904025,66032,
0801904026,67609,
0801904027,71237,
0801904028,62646,
0801904029,82523,
0801904030,73554,
0801904031,62509,
0801904032,61054,
0801904033,57041,
0801904034,81073,
0801904035,65463,
0801904036,59704,
0801904037,63586,
0801904038,60024,
0801904039,59849,
0801904040,47953,
0801904041,47093,
0801904042,45360,
0801904043,74560,
0801904044,56089,
0801904045,55773,
0801904046,84977,
0801904047,71709,
0801904048,74416,
0801904049,116687,
0801904050,143364,
0801904051,83260,
0801904052,143364,
0801904053,87196,
0801904054,113548,
0801904055,143364,
0801904056,143364,
0801904084,78782,
0801905001,65485,
0801905002,115145,
0801905003,109411,
0801905004,143364,
0801905005,124022,
0801905006,143364,
0801905007,116291,
0801905008,143364,
0801905009,91886,
0801905010,85763,
0801905011,96681,
0801905012,80360,
0801905013,90108,
0801905014,112965,
0801905015,96052,
0801905016,75583,
0801905017,143364,
0801905018,87859,
0801905019,127244,
0801905020,106105,
0801905021,143364,
0801905022,143364,
0801905023,74782,
0801905024,143364,
0801905025,143364,
0801905026,143364,
0801905027,143364,
0801905028,143364,
0801905029,143364,
0801905030,143364,
0801905031,143364,
0801905032,143364,
0801905033,130957,
0801905034,93452,
0801905035,143364,
0801905036,133519,
0801905037,87541,
0801905038,71584,
0801905039,120390,
0801905040,74672,
0801905041,83311,
0801905042,89822,
0801905043,75518,
0801905044,79138,
0801905045,122003,
0801905046,143364,
0801905047,127187,
0801905048,123978,
0801905049,143364,
0801905050,98956,
0801905051,132722,
0801905052,143364,
0801905053,143364,
0801905054,143364,
0801905055,143364,
0801905056,110853,
0801905057,143364,
0801905058,134674,
0801905059,115301,
0801905060,143364,
0801905061,76688,
0801905062,108425,
0801905063,114899,
0801905064,98115,
0801905065,87450,
0801905066,112060,
0801905067,102401,
0801905068,86550,
0801905069,87753,
0801905070,81315,
0801905071,74997,
0801905072,94099,
0801905073,76060,
0801905074,99467,
0801905075,80957,
0801905076,89226,
0801905077,114288,
0801905078,114647,
0801905079,90485,
0801905080,74533,
0801905081,74402,
0801905082,68527,
0801905083,71262,
0801905084,72609,
0801905085,64990,
0801905086,68159,
0801905087,72929,
0801905088,81489,
0801905089,82775,
0801905090,68118,
0801905091,71475,
0801905092,115868,
0801905093,82450,
0801905094,104561,
0801905095,72000,
0801905096,61748,
0801905097,81863,
0801905098,70901,
0801906001,56314,
0801906002,54905,
0801906003,52942,
0801906004,59429,
0801906006,84892,
0801906007,69526,
0801906008,58323,
0801906009,92494,
0801906010,76078,
0801906011,71933,
0801906012,89559,
0801906013,56614,
0801906014,50429,
0801906015,49634,
0801906016,44098,
0801906017,49960,
0801906018,51401,
0801906019,56962,
0801906020,57210,
0801906021,70580,
0801906022,62203,
0801906023,85102,
0801906024,60953,
0801906025,66318,
0801906026,60389,
0801906027,65065,
0801906028,49719,
0801906029,54695,
0801906030,49119,
0801906031,50085,
0801906032,52134,
0801906033,55299,
0801906034,49105,
0801906035,69773,
0801906036,62787,
0801906037,63293,
0801906038,55576,
0801906039,49507,
0801906040,62997,
0801906041,64790,
0801906042,75214,
0801906043,61068,
0801906044,75300,
0801906045,59234,
0801906046,54318,
0801906047,47961,
0801906048,52193,
0801906049,55703,
0801906050,47254,
0801906051,55456,
0801906052,51554,
0801906053,58711,
0801906054,49943,
0801906055,55817,
0801906056,49595,
0801906057,44780,
0801906058,55521,
0801906059,49410,
0801906060,51807,
0801906061,51548,
0801906062,48806,
0801906063,50246,
0801906064,59523,
0801906065,65165,
0801906066,57563,
0801906067,53718,
0801906068,65660,
0801906069,60186,
0801906070,54853,
0801906071,62143,
0801906072,70093,
0801906073,53168,
0801906074,60037,
0801906075,68546,
0801906076,61446,
0801906077,51395,
0801906078,49256,
0801906079,56558,
0801906080,54797,
0801906081,54374,
0801906082,60315,
0801906083,62066,
0801906084,54639,
0801906085,60913,
0801906086,70259,
0801906087,65601,
0801906088,59288,
0801907001,59557,
0801907002,43456,
0801907003,58326,
0801907004,48838,
0801907005,47550,
0801907006,57833,
0801907007,49224,
0801907008,57780,
0801907009,48286,
0801907010,58570,
0801907011,48218,
0801907012,46876,
0801907013,58905,
0801907014,42630,
0801907015,52803,
0801907016,63055,
0801907017,50687,
0801907018,52341,
0801907019,54208,
0801907020,49833,
0801907021,64639,
0801907022,52655,
0801907023,39869,
0801907024,45068,
0801907025,45624,
0801907026,47559,
0801907027,49361,
0801907028,50105,
0801907029,54314,
0801907030,43905,
0801907031,44532,
0801907032,49504,
0801907033,53140,
0801907034,60239,
0801907035,58800,
0801907036,58514,
0801907037,51192,
0801907038,47788,
0801907039,54519,
0801907040,48116,
0801907041,45531,
0801907042,48849,
0801907043,51396,
0801907044,53143,
0801907045,49012,
0801907046,45956,
0801907047,48010,
0801907048,48892,
0801907049,47729,
0801907050,46911,
0801907051,50724,
0801907052,72306,
0801907053,57309,
0801907054,76346,
0801907055,87157,
0801907056,58187,
0801907057,60180,
0801907058,55130,
0801907059,38218,
0801907060,39096,
0801907061,40633,
0801907062,40718,
0801907063,35546,
0801907064,36727,
0801907065,32299,
0801907066,34264,
0801907067,34760,
0801907068,33700,
0801907069,32996,
0801907070,37005,
0801907071,40690,
0801907072,40979,
0801907073,34439,
0801907074,34783,
0801907075,35754,
0801907076,36304,
0801907077,36070,
0801907078,37285,
0801907079,34962,
0801907080,39995,
0801907081,42122,
0801907082,38461,
0801907083,36945,
0801907084,39234,
0801907085,42708,
0801907086,39500,
0801907087,40725,
0801907088,43438,
0801907089,52969,
0801907090,45730,
0801907091,44021,
0801907092,33846,
0801907093,43304,
0801907094,45226,
0801907095,46989,
0801907096,42739,
0801907097,54071,
0801907098,71883,
0801907099,56491,
0801907100,47323,
0801907101,49017,
0801907102,51471,
0801907103,47141,
0801907104,41622,
0801907105,52731,
0801907106,52976,
0801907107,60700,
0801907108,53681,
0801907109,40126,
0801907110,53575,
0801907111,61109,
0801907112,55319,
0801907113,44663,
0801907114,54211,
0801907115,62585,
0801907116,48155,
0801907117,51347,
0801907118,51361,
0801907119,43200,
0801907120,46002,
0801907121,40704,
0801907122,46743,
0801907123,51488,
0801908001,45180,
0801908002,49382,
0801908003,44461,
0801908004,43349,
0801908005,47081,
0801908006,49501,
0801908007,50240,
0801908008,48648,
0801908009,46037,
0801908010,51458,
0801908011,53072,
0801908012,46751,
0801908013,45884,
0801908014,44065,
0801908015,39853,
0801908016,44524,
0801908017,49338,
0801908018,46975,
0801908019,42509,
0801908020,43050,
0801908021,45909,
0801908022,47020,
0801908023,40313,
0801908024,43203,
0801908025,37085,
0801908026,45999,
0801908027,50815,
0801908028,40100,
0801908029,35845,
0801908030,42410,
0801908031,40597,
0801908032,45111,
0801908033,37109,
0801908034,34937,
0801908035,36551,
0801908036,33957,
0801908037,39784,
0801908038,39662,
0801908039,37739,
0801908040,34588,
0801908041,32105,
0801908042,44437,
0801908043,37352,
0801908044,33849,
0801908045,36029,
0801908046,35868,
0801908047,32858,
0801908048,27315,
0801908049,32096,
0801908050,54187,
0801908051,51712,
0801908052,43205,
0801908053,51600,
0801908054,43178,
0801908055,59225,
0801908056,42361,
0801908057,43840,
0801908058,39562,
0801908059,41987,
0801908060,45812,
0801908061,39687,
0801908062,46246,
0801908063,51106,
0801908064,41239,
0801908065,34853,
0801908066,30134,
0801908067,37205,
0801908068,32475,
0801908069,34012,
0801908070,32184,
0801908071,33915,
0801908072,38226,
0801908073,28000,
0801908074,32723,
0801908075,34409,
0801908076,34903,
0801908077,31405,
0801908078,31261,
0801908079,31709,
0801908080,35028,
0801908081,33516,
0801908082,34161,
0801908083,36405,
0801908084,37943,
0801908085,36881,
0801908086,36625,
0801908087,36254,
0801908088,36825,
0801908089,37517,
0801908090,39225,
0801908091,39635,
0801908092,42391,
0801908093,36655,
0801908094,37648,
0801908095,48909,
0801908096,41536,
0801908097,36455,
0801908098,35379,
0801908099,35499,
0801908100,35348,
0801908101,38663,
0801908102,32302,
0801908103,27703,
0801908104,30882,
0801908105,34004,
0801908106,34101,
0801908107,32894,
0801908108,34679,
0801908109,32385,
0801908110,26890,
0801908111,29990,
0801908112,31802,
0801908113,30962,
0801908114,33497,
0801908115,30816,
0801908116,33663,
0801908215,47028,
0801909001,31514,
0801909002,31849,
0801909003,33376,
0801909004,33655,
0801909005,43920,
0801909006,33532,
0801909007,29772,
0801909008,69873,
0801909009,49595,
0801909010,38414,
0801909011,34770,
0801909013,32140,
0801909014,34471,
0801909015,35050,
0801909016,49535,
0801909017,53143,
0801909018,48768,
0801909019,59996,
0801909020,50324,
0801909021,56209,
0801909022,59554,
0801909023,59216,
0801909024,52883,
0801909025,54792,
0801909026,55277,
0801909027,54947,
0801909028,71626,
0801909029,47387,
0801909030,55268,
0801909031,59023,
0801909032,43064,
0801909033,45761,
0801909034,40279,
0801909035,47436,
0801909036,50093,
0801909037,45318,
0801909038,54805,
0801909039,49720,
0801909040,58719,
0801909041,47628,
0801909042,52037,
0801909043,46977,
0801909044,51162,
0801909045,50584,
0801909046,54155,
0801909047,52954,
0801909048,48021,
0801909049,51549,
0801909050,50723,
0801909051,52746,
0801909052,51238,
0801909053,55020,
0801909054,53317,
0801909055,48106,
0801909056,49987,
0801909057,47975,
0801909058,54779,
0801909059,51346,
0801909060,46767,
0801909061,55409,
0801909062,52937,
0801909063,55112,
0801909064,53807,
0801909065,49416,
0801909066,55328,
0801909067,45843,
0801909068,51774,
0801909069,46771,
0801909070,34500,
0801909071,46579,
0801909072,38299,
0801909073,49338,
0801909074,46316,
0801909075,49608,
0801909076,44332,
0801909077,47210,
0801909078,50494,
0801909079,50822,
0801909080,51047,
0801909081,48380,
0801909082,49392,
0801909083,50031,
0801909084,54706,
0801909085,51486,
0801909086,50956,
0801909087,54628,
0801909088,42797,
0801909089,45126,
0801909090,44481,
0801909091,50772,
0801909092,53211,
0801909093,48586,
0801909094,50386,
0801909095,53831,
0801909156,48151,
0801910001,44529,
0801910002,47601,
0801910003,50391,
0801910004,48905,
0801910005,51705,
0801910006,57092,
0801910007,65552,
0801910008,49541,
0801910009,49825,
0801910010,47246,
0801910011,54173,
0801910012,54610,
0801910013,49840,
0801910014,49916,
0801910015,49604,
0801910016,55062,
0801910017,53041,
0801910018,46527,
0801910019,50482,
0801910020,44288,
0801910021,45578,
0801910022,49626,
0801910023,49057,
0801910024,56091,
0801910025,47786,
0801910026,57794,
0801910027,52261,
0801910028,52781,
0801910029,49588,
0801910030,50599,
0801910031,46379,
0801910032,58833,
0801910033,55035,
0801910034,47543,
0801910035,62878,
0801910036,66033,
0801910037,41859,
0801910038,53634,
0801910039,49515,
0801910040,50488,
0801910041,50869,
0801910042,48524,
0801910043,54670,
0801910044,53369,
0801910045,61375,
0801910046,54130,
0801910047,56858,
0801910048,60502,
0801910049,54060,
0801910050,58452,
0801910051,64968,
0801910052,91674,
0801910053,115593,
0801910054,89114,
0801910055,104534,
0801910056,50767,
0801910057,46376,
0801910058,46501,
0801910059,61557,
0801910060,52732,
0801910061,62155,
0801910062,63468,
0801910063,60191,
0801910064,59202,
0801910065,59469,
0801910066,63251,
0801910067,89506,
0801910068,72491,
0801910069,70880,
0801910070,50906,
0801910071,64699,
0801910072,60179,
0801910073,47594,
0801910074,51442,
0801910075,53163,
0801910076,57227,
0801910077,81839,
0801910078,83428,
0801910079,64583,
0801910080,111673,
0801910081,41317,
0801910082,28212,
0801910083,27309,
0801910084,31587,
0801910085,29319,
0801910086,33514,
0801910087,31625,
0801910088,43416,
0801910089,31728,
0801910090,39156,
0801910091,41548,
0801910092,49287,
0801910093,53591,
0801910094,57133,
0801910095,45300,
0801910096,64596,
0801910097,61463,
0801910098,61234,
0801910099,39974,
0801910100,44537,
0801910101,51848,
0801910102,44257,
0801910103,47431,
0801910104,57539,
0801910105,49431,
0801910106,46756,
0801910107,60868,
0801910108,43934,
0801910109,42442,
0801910110,40954,
0801910111,44972,
0801910112,57478,
0801910113,46309,
0801910114,40733,
0801910115,40428,
0801910116,37981,
0801910117,42875,
0801910118,59612,
0801910119,37700,
0801910120,40880,
0801910121,41663,
0801910122,54685,
0801910123,45401,
0801910124,49053,
0801910125,42008,
0801910126,47100,
0801910127,51977,
0801910128,47663,
0801910129,52406,
0801910130,44533,
0801910131,58137,
0801910132,42729,
0801910133,39614,
0801910134,36575,
0801910135,41639,
0801910136,41279,
0801910137,37899,
0801910138,31856,
0801910139,36364,
0801910140,38130,
0801910141,38227,
0801910142,36277,
0801910143,42437,
0801910234,49003,
0801910235,36523,
0801910236,41101,
0801910237,36788,